0.00000,0.00000
0.00552,0.00604
0.01103,0.01444
0.01655,0.02454
0.02206,0.03599
0.02758,0.04856
0.03309,0.06207
0.03861,0.07639
0.04412,0.09141
0.04964,0.10703
0.05515,0.12317
0.06067,0.13977
0.06618,0.15675
0.07170,0.17406
0.07721,0.19166
0.08273,0.20950
0.08824,0.22753
0.09376,0.24571
0.09927,0.26401
0.10479,0.28240
0.11030,0.30084
0.11582,0.31930
0.12133,0.33777
0.12685,0.35620
0.13236,0.37459
0.13788,0.39289
0.14339,0.41111
0.14891,0.42921
0.15442,0.44717
0.15994,0.46498
0.16545,0.48263
0.17097,0.50009
0.17648,0.51735
0.18200,0.53440
0.18752,0.55122
0.19303,0.56781
0.19855,0.58414
0.20406,0.60022
0.20958,0.61602
0.21509,0.63155
0.22061,0.64679
0.22612,0.66173
0.23164,0.67637
0.23715,0.69070
0.24267,0.70471
0.24818,0.71839
0.25370,0.73176
0.25921,0.74478
0.26473,0.75748
0.27024,0.76983
0.27576,0.78184
0.28127,0.79350
0.28679,0.80482
0.29230,0.81578
0.29782,0.82640
0.30333,0.83666
0.30885,0.84657
0.31436,0.85613
0.31988,0.86534
0.32539,0.87420
0.33091,0.88270
0.33642,0.89087
0.34194,0.89868
0.34745,0.90616
0.35297,0.91329
0.35848,0.92009
0.36400,0.92656
0.36952,0.93270
0.37503,0.93851
0.38055,0.94401
0.38606,0.94920
0.39158,0.95407
0.39709,0.95865
0.40261,0.96293
0.40812,0.96692
0.41364,0.97063
0.41915,0.97407
0.42467,0.97724
0.43018,0.98015
0.43570,0.98282
0.44121,0.98525
0.44673,0.98744
0.45224,0.98941
0.45776,0.99117
0.46327,0.99273
0.46879,0.99410
0.47430,0.99529
0.47982,0.99632
0.48533,0.99718
0.49085,0.99790
0.49636,0.99849
0.50188,0.99896
0.50739,0.99932
0.51291,0.99959
0.51842,0.99977
0.52394,0.99989
0.52945,0.99996
0.53497,0.99999
0.54048,1.00000
0.54600,1.00000
